Name,Avaliable_Online_order,Avaliable_Book_table,Rate out of 5,Votes of popularity,Phone,Location,Rest_type,Approx_cost(for two people),Approx_cost(for one people)
Cauvery Hyderabadi Biriyani,False,False,3.8,111,"+917411004538,+917411004539",Marathahalli,Casual Dining,600,300.0
B'Town Cafe & Restaurant,False,False,3.5,8,+917815958567,Marathahalli,Food Court,350,175.0
Good Food Kitchen,False,False,3.4,7,+919916511003,Sarjapur Road,Delivery,400,200.0
Sree Lakshmi Venkateshwara Andhra Mess,False,False,3.5,17,"+917899277572,+917813087001",Marathahalli,Mess,400,200.0
Baba Da Dhaba,False,True,3.6,32,+919845046564,Sarjapur Road,Casual Dining,650,325.0
Paratha Plaza,False,False,3.5,68,08041122058,Sarjapur Road,Quick Bites,250,125.0
Delice - Novotel,False,False,3.8,33,"+919538897344,+919538897332",Marathahalli,"Dessert Parlor, Bakery",800,400.0
Lassi Cafe,False,False,3.6,23,+919916082428,Sarjapur Road,Beverage Shop,300,150.0
Fine Day,False,False,3.1,5,+918105154818,Sarjapur Road,Quick Bites,500,250.0
Heavenly Desserts,False,False,3.6,10,+919845192248,Sarjapur Road,Bakery,300,150.0
Kriti Dugar,False,False,3.4,5,+919379560985,Marathahalli,Dessert Parlor,200,100.0
Nandhini Deluxe,False,False,2.9,108,"08028441119,+919743649955",Sarjapur Road,Casual Dining,800,400.0
WOW MOMO,False,False,3.4,10,+916360627467,Marathahalli,"Takeaway, Delivery",300,150.0
Lluvia Bakery,True,False,3.4,11,+918105162111,Sarjapur Road,"Takeaway, Delivery",350,175.0
Rolls On Wheels,False,False,3.5,132,"+919071734108,+919071496800",Sarjapur Road,Quick Bites,300,150.0
Helloo Delhi,True,False,3.2,34,"08025721818,08025721919",Sarjapur Road,Unknown,1000,500.0
Smokin Bites,True,False,3.4,20,+919538909155,Sarjapur Road,Quick Bites,200,100.0
Health Gourmet,True,False,3.8,117,"+918073905451,+919046343690",Sarjapur Road,"Takeaway, Delivery",600,300.0
Detox Kitchen,True,False,3.1,9,+919810156644,HSR,"Takeaway, Delivery",500,250.0
China On My Plate,True,False,2.8,23,"+917019901121,+917411712753",Bellandur,Casual Dining,800,400.0
Paratha King,True,False,3.1,19,+919916824979,Bellandur,Quick Bites,300,150.0
Kakatiya's,True,False,3.1,6,+919900026091,HSR,Quick Bites,250,125.0
Hyderabadi Biryani Hub,True,False,3.5,19,+919739375525,Bellandur,Casual Dining,600,300.0
Hangouts @ Kashish Caterers,True,False,3.4,10,"+917892688941,+919902059222",HSR,Delivery,400,200.0
Go Gharelu,True,False,3.1,69,+918095508855,Marathahalli,"Takeaway, Delivery",250,125.0
Tempteys,True,False,3.7,39,"+919133302130,+919133382123",HSR,"Beverage Shop, Dessert Parlor",500,250.0
Savours,True,False,3.3,10,+918296037089,Sarjapur Road,Quick Bites,350,175.0
Polar Bear,True,False,4.2,213,08049652152,Bellandur,Dessert Parlor,400,200.0
Pop Hop,False,False,3.5,6,08045128709,Bellandur,Dessert Parlor,300,150.0
Just Bake,False,False,3.7,36,+918970010111,Bellandur,Bakery,400,200.0
Coffee Bike,False,False,3.7,15,+919945111910,Bellandur,Kiosk,250,125.0
Cake Dilim,True,False,3.3,10,"+919535677777,+919886774444",Bellandur,Bakery,400,200.0
Bangalore Agarwal Bhavan,False,False,3.2,4,+917847020015,Bellandur,"Sweet Shop, Quick Bites",200,100.0
Squeez Juice Bars,False,False,3.3,10,+919940326487,Bellandur,Beverage Shop,200,100.0
Natural Ice Cream,False,False,4.3,384,08025746686,Sarjapur Road,Dessert Parlor,150,75.0
Frozen Bottle,True,False,3.6,13,+918892390985,Sarjapur Road,Beverage Shop,400,200.0
Homemade Delite,False,False,3.6,21,+919972245356,HSR,Takeaway,200,100.0
Hokey Pokey Ice Creams,False,False,3.9,75,"+917829397120,08048533821",Sarjapur Road,Dessert Parlor,350,175.0
Minus 4,False,False,3.3,4,+919738547960,Sarjapur Road,Dessert Parlor,300,150.0
Cafe Coffee Day,False,False,3.1,7,"+919071381541,+919880565683",Sarjapur Road,Cafe,900,450.0
Warm Oven,True,False,3.9,93,"+918880233233,+918197170008",Sarjapur Road,Bakery,500,250.0
Chullah Chandigarh,False,False,4.2,308,+918043752115,Bellandur,Casual Dining,800,400.0
Dalchini,False,False,4.0,225,"08042177774,+917338343838",Bellandur,Casual Dining,700,350.0
BG's Poolside Bar & Grill,False,True,4.1,106,"+919513584681,+919538877533",Bellandur,"Casual Dining, Bar",1600,800.0
Glassy,False,True,4.2,707,08049653500,Bellandur,Club,1400,700.0
Moriz Restaurant,True,False,2.6,74,"08043741146,08043741147",Bellandur,Casual Dining,800,400.0
Drunken Monkey,True,False,3.4,11,+919686296863,Bellandur,Kiosk,400,200.0
Andhra Spicy,False,False,3.5,11,+919066286281,Bellandur,Quick Bites,400,200.0
Chai Point,True,False,3.9,61,+918880141000,Bellandur,"Beverage Shop, Quick Bites",250,125.0
White Horse Pulse Resto Bar,False,False,3.3,6,"+919535980285,+919620797972",Bellandur,Pub,1000,500.0
Palki Grand,False,False,2.9,16,"08040946063,08040946062",Bellandur,Casual Dining,500,250.0
Chung Wah,False,False,2.9,17,"+918550810500,+918550820500",Bellandur,Casual Dining,400,200.0
Spicy Punjabi Pharatha,True,False,2.7,33,"+917829455599,+918296005249",Bellandur,Casual Dining,500,250.0
Kolkata Famous Kati Roll,False,False,3.4,7,+918553388010,Bellandur,Kiosk,100,50.0
Pizza Hut,False,False,3.6,542,"08039883988,08049029599",Bellandur,Casual Dining,750,375.0
Punjabi Tadka,False,False,2.6,270,+919740815499,Bellandur,Casual Dining,400,200.0
Subway,True,False,3.6,12,+918050008044,Bellandur,Food Court,600,300.0
Pathankot Punjabi Restaurant,False,False,3.2,5,08065337788,Bellandur,Food Court,350,175.0
Roll junction,False,False,3.1,8,+919845343977,Bellandur,Food Court,150,75.0
Burger King,False,False,3.5,21,+918553726753,Bellandur,Food Court,600,300.0
Noodles,False,False,3.4,4,+919885576726,Bellandur,Food Court,400,200.0
Kolkata Famous Kati Rolls,False,False,3.6,18,"+919902265398,+919743331192",Bellandur,Quick Bites,100,50.0
Domino's Pizza,True,False,3.2,66,"08041534484,18602100000",Bellandur,Quick Bites,800,400.0
Harvest Market,False,False,3.7,19,+919885576726,Bellandur,Food Court,500,250.0
TRP -That Roll Place,False,False,3.6,14,+919164610427,Bellandur,"Quick Bites, Food Court",200,100.0
Sri Krishna Upahar,False,False,3.6,25,+919845371809,Bellandur,Quick Bites,250,125.0
Quick Bites Food Junction,False,False,3.2,4,+919304766066,Bellandur,Quick Bites,300,150.0
Uttar Karnataka Lunch Home,False,False,3.1,6,+919535493336,Bellandur,Quick Bites,150,75.0
Maa Vooru,False,False,3.3,4,+919108422721,Bellandur,Quick Bites,300,150.0
Ambur Biriyani Centre,False,False,3.3,6,+919164040993,Bellandur,Quick Bites,150,75.0
Inhouse Burger,False,False,3.6,10,+919845985222,Bellandur,Food Court,400,200.0
Biryani Kitchen,False,False,3.5,27,+918884188800,Bellandur,Quick Bites,350,175.0
Ambur Dum Biriyani,False,False,3.0,11,"+918296682365,+919976787765",Bellandur,Quick Bites,150,75.0
Basaveshwara Khanavali,False,False,3.3,11,+919901102321,Bellandur,Quick Bites,150,75.0
OPUS Club,False,True,4.4,1496,"+918046444777,+917349734900",Sarjapur Road,Pub,1900,950.0
Vapour Brewpub and Diner,False,True,4.6,2726,08049653047,Sarjapur Road,"Microbrewery, Pub",1400,700.0
Blue Terrain - Novotel,False,True,4.2,505,08049653418,Marathahalli,Fine Dining,2000,1000.0
Asia Alive - DoubleTree Suites By Hilton,False,True,4.1,237,"+918861301373,+918861306613",Sarjapur Road,Fine Dining,2000,1000.0
The Square - Novotel,False,True,4.3,760,08049652905,Marathahalli,Fine Dining,2500,1250.0
Purani Dilli By Anand Sweets,False,False,4.1,239,08041575757,Sarjapur Road,Quick Bites,500,250.0
Beijing Bites,True,False,3.5,341,"08040932488,08040932588",Sarjapur Road,Casual Dining,850,425.0
Kritunga Restaurant,False,False,2.6,330,08065622666,Sarjapur Road,Casual Dining,600,300.0
Nanda's,True,False,3.3,213,"08041106606,+919686111499",Sarjapur Road,Casual Dining,600,300.0
Chez Nous - Novotel,False,True,3.9,125,"+919538897369,+919538897371",Marathahalli,Lounge,2500,1250.0
Wimpie,False,False,3.3,4,+918217088368,Sarjapur Road,Casual Dining,600,300.0
Le Charcoal Xpress,True,False,3.5,53,+917829653371,Sarjapur Road,Quick Bites,500,250.0
Madurai Idly Shop,False,False,2.2,187,+919148186352,Sarjapur Road,Quick Bites,200,100.0
Bengaluru's Biryanis Paradise,False,False,3.7,26,+918884902839,Marathahalli,Quick Bites,300,150.0
Quiznos,False,False,3.3,17,+918867657637,Sarjapur Road,Quick Bites,500,250.0
Ambur Star Biryani,False,False,3.5,22,"+919843733541,+917259763366",Sarjapur Road,Quick Bites,200,100.0
Kabab Magic,True,False,2.9,317,08041650241,Sarjapur Road,Quick Bites,400,200.0
Ambur Biryani Point,False,False,3.3,8,+919738903295,Sarjapur Road,Quick Bites,150,75.0
Just Shawarma,True,False,3.8,170,+917676764422,Sarjapur Road,Quick Bites,300,150.0
Ebony,True,True,4.3,3126,08041783344,MG Road,Casual Dining,1500,750.0
Kitchen On Table,True,False,4.0,48,+919343044750,Brigade Road,Casual Dining,1500,750.0
Panchavati Gaurav Thali,True,True,4.0,929,"+918041410033,+919731693987",Brigade Road,Casual Dining,800,400.0
Saatvikk,False,False,2.8,130,+918041216902,Brigade Road,Casual Dining,650,325.0
70 Brigade - Iris Hotel,False,True,3.9,105,"08040555888,08030555888",Brigade Road,Casual Dining,1000,500.0
Monarch,False,False,3.6,10,08042507000,Brigade Road,Casual Dining,700,350.0
Olive Bar And Kitchen,False,True,4.5,2194,"08041128400,+919945565483",Richmond Road,Casual Dining,1800,900.0
JW Kitchen - JW Marriott Bengaluru,False,True,4.4,2111,08049652886,Lavelle Road,Fine Dining,2200,1100.0
The Tao Terraces,True,True,4.0,1909,08049653408,MG Road,Casual Dining,2100,1050.0
Rim Naam - The Oberoi,False,False,4.6,979,08025585858,MG Road,Fine Dining,3000,1500.0
Oh! Calcutta,True,True,4.4,1105,"08025326614,+919379544302",Church Street,"Casual Dining, Bar",1200,600.0
Caraway Kitchen - Conrad Bengaluru,False,True,4.3,148,"+918884358678,+918884463288",Ulsoor,Fine Dining,2800,1400.0
Mainland China,True,True,4.5,1394,08049652555,Church Street,"Casual Dining, Bar",1700,850.0
Rasovara,True,True,4.3,763,"08041738968,+919886060965",Lavelle Road,Casual Dining,1400,700.0
Barbeque Nation,False,True,4.4,1065,"+918064806060,18001086060",Ulsoor,Casual Dining,1600,800.0
Cubbon Pavilion - ITC Gardenia,False,True,4.3,678,08022119898,Richmond Road,Fine Dining,2500,1250.0
Empire Restaurant,True,False,4.0,3209,08049653264,Church Street,Casual Dining,750,375.0
Le Jardin - The Oberoi,False,False,4.3,687,"08025585858,08041358205",MG Road,Fine Dining,3000,1500.0
BBQ@52,False,True,3.8,64,"+918147332157,+918884854771",MG Road,Casual Dining,1500,750.0
Konark Vegetarian Restaurant,False,False,4.1,1022,"08041248812,+919611774705",Residency Road,Casual Dining,500,250.0
The Spice Bazaar,False,True,4.2,347,08049652116,Lavelle Road,"Casual Dining, Bar",1000,500.0
The Market - The Ritz-Carlton,False,True,4.3,622,08049148341,Residency Road,Fine Dining,3400,1700.0
WelcomCafe Jacaranda - WelcomHotel Bengaluru,False,False,3.9,53,08025001700,Richmond Road,Fine Dining,2000,1000.0
Season - Adarsh Hamilton,False,True,4.3,334,08043595713,Richmond Road,Casual Dining,1200,600.0
Puran da Dhaba - The Pride Hotel,True,False,3.9,169,"08043484348,+918892711068",Richmond Road,"Casual Dining, Bar",1700,850.0
Red Onion,True,True,4.2,576,"08040918141,+918867785004",Shanti Nagar,Casual Dining,1200,600.0
Cafe Mangii,True,True,4.3,1048,+918022270098,Lavelle Road,Casual Dining,1600,800.0
Ithaca - The Chancery Pavilion,False,True,3.9,310,+919902785566,Residency Road,Fine Dining,2000,1000.0
Tiger Trail - Ramada Hotel,True,True,4.0,188,"+918022865566,+919902000018",Shivajinagar,"Casual Dining, Bar",1300,650.0
Citrus Cafe - Lemon Tree Premier,False,False,3.9,183,"08044802005,+919986771761",Ulsoor,Casual Dining,2200,1100.0
The Oriental Spice - Ashraya Hotel,True,False,3.9,158,"08041148989,+917795612130",Infantry Road,Casual Dining,1300,650.0
Pinxx - Royal Orchid Central,True,True,3.8,198,"+919902000045,+919902000031",MG Road,Casual Dining,1600,800.0
Monsoon - The Park Bangalore,False,True,4.2,271,"+919035808038,+919049882302",MG Road,Fine Dining,3000,1500.0
Cafe Treat - The Pride Hotel,True,False,4.1,119,"+919916548932,+919686601306",Richmond Road,Casual Dining,1000,500.0
South Parade - The Chancery Hotel,False,False,3.1,120,"+919972976627,08022276767",Lavelle Road,"Casual Dining, Bar",1200,600.0
Mint Masala,False,False,2.8,253,"+919980703115,+919343584544",Infantry Road,Casual Dining,1000,500.0
Curry with a 'K' - St. Mark's Hotel,False,False,3.9,89,+919901911818,St. Marks Road,Casual Dining,1400,700.0
Northern Gate- Gateway Hotel,False,True,3.9,100,"+919845547532,+919898780004",Residency Road,Casual Dining,1900,950.0
Canopy,False,False,3.0,107,"08025588542,+919901054792",MG Road,Casual Dining,800,400.0
Cafe @ Elanza,False,False,3.7,145,"+918861300580,08022233666",Richmond Road,"Casual Dining, Cafe",1000,500.0
The Hub - Ibis Hotel,False,False,3.5,29,"08042548005,+917022032592",Richmond Road,Bar,2200,1100.0
Tiffanys,False,False,2.9,31,"08022213130,08022210377",Shanti Nagar,Casual Dining,1000,500.0
Nithyothsav - Hotel Ramanashree,False,False,3.0,31,"08046659000,+919611197981",MG Road,Casual Dining,1000,500.0
Cafe Monarch Luxur,False,False,3.8,23,08042506000,Infantry Road,Casual Dining,800,400.0
Sunehri,False,False,3.7,67,"08022225111,08040411111",Richmond Road,Casual Dining,500,250.0
Bazaar- Zone By The Park,False,True,3.8,52,"+919148998343,+919148998352",Infantry Road,Casual Dining,1100,550.0
VT Sindhur Veg,False,False,3.3,13,08022129881,Richmond Road,Casual Dining,600,300.0
Spice It,False,False,3.8,52,"08042548005,+917022032592",Richmond Road,Casual Dining,1200,600.0
Woody's,False,False,2.3,116,"08022225111,08040411111",Richmond Road,Casual Dining,650,325.0
Skylit - Citrus Hotels,False,True,4.0,324,"+918150811209,+917022006120",Cunningham Road,Lounge,1300,650.0
Banjara Melting Pot,True,True,4.2,474,"08041231772,08041231774",Cunningham Road,Casual Dining,1700,850.0
Zodiac - Fortune Select JP Cosmos Hotel,True,True,3.8,91,"+919886088863,+919964406494",Cunningham Road,Casual Dining,1800,900.0
One Atria Cafe,False,True,3.7,100,"07618783883,08022205205",Race Course Road,Casual Dining,1600,800.0
24 Carats - The Capitol,False,False,3.1,46,"+919141185747,08022281234",Cunningham Road,Casual Dining,1000,500.0
BISO - Citrus Hotels,False,True,3.9,156,"+917022006109,+917022066120",Cunningham Road,Casual Dining,1100,550.0
BLOW,True,True,4.2,935,08049653044,Church Street,Cafe,750,375.0
Cafe Azzure,True,True,4.3,2660,08049653400,MG Road,Cafe,1200,600.0
The Flying Squirrel,False,False,4.0,24,+917022570948,Brigade Road,Cafe,450,225.0
Trick Or Treat,False,False,4.2,618,+919035343341,Brigade Road,Cafe,500,250.0
Fatso's,True,False,3.8,72,"+918041244440,+917019438017",Brigade Road,Cafe,650,325.0
Yomama!!,False,False,3.6,7,+919108765262,Brigade Road,Quick Bites,800,400.0
Cafe Coffee Day,False,False,3.2,9,08032525294,Brigade Road,Cafe,600,300.0
Hashtag Cafe,False,False,2.8,43,"08048537697,+919986100095",Brigade Road,Cafe,700,350.0
Smokie Brownie,True,False,3.2,7,"+919986106968,+919008018823",Brigade Road,Cafe,600,300.0
Bon Sante,True,False,3.6,104,"+919972402570,+919844094505",Brigade Road,Cafe,800,400.0
Kalmane Koffees,False,False,3.6,46,+919972900626,Brigade Road,Cafe,350,175.0
Brik Oven,False,False,4.6,2257,+919148100119,Church Street,Cafe,1100,550.0
Green Theory,True,True,4.2,2838,"+918861435956,08041663836",Residency Road,"Casual Dining, Cafe",800,400.0
Truffles,False,False,4.5,3568,08049652756,St. Marks Road,Cafe,900,450.0
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Felix,True,True,4.4,690,08022086644,MG Road,"Casual Dining, Cafe",1700,850.0
The White Room - Coffee & Kitchen,False,True,4.0,1701,"08040222999,+917406195000",Church Street,Cafe,1000,500.0
Matteo Coffea,False,False,4.3,2635,08043336000,Church Street,Cafe,600,300.0
Glen's Bakehouse,True,False,4.4,1084,"08041124894,08041126825",Lavelle Road,"Bakery, Cafe",600,300.0
Cafe Mozaic - Taj MG Road Bengaluru,False,True,4.1,563,"08066604266,08066604444",MG Road,"Casual Dining, Cafe",2500,1250.0
Smally's Resto Cafe,True,False,4.3,3547,"+919986658881,+919986658882",Church Street,Cafe,650,325.0
Bengaluru Baking Company - JW Marriott Bengaluru,False,False,4.3,521,"+919900244769,08067188511",Lavelle Road,"Bakery, Cafe",1400,700.0
Cafe Kaara,False,False,4.2,160,08025586860,Ulsoor,Cafe,750,375.0
Japan Travel Cafe Azuki,False,False,4.3,67,08041214342,Residency Road,Cafe,400,200.0
Little Green Cafe,False,False,4.3,786,"08048544183,+919686366570",Church Street,"Cafe, Casual Dining",900,450.0
Fabcafe,True,True,4.1,54,08049652772,MG Road,Cafe,800,400.0
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Mor'ish,True,False,4.1,114,"08043021963,+917021430262",Richmond Road,Cafe,700,350.0
Skoolroom,True,False,4.3,566,+919743538476,Ulsoor,Cafe,700,350.0
Lakeview Milkbar,False,False,4.0,1443,08025582161,MG Road,"Dessert Parlor, Cafe",500,250.0
Wolf'ish,True,False,4.1,460,"+919113097489,+918041219222",Church Street,Cafe,700,350.0
Urban Solace - CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© for the Soul,True,False,3.9,461,"+919945022177,+919845013055",Ulsoor,"Cafe, Casual Dining",800,400.0
Peppa Zzing,True,False,4.3,1133,+919740758557,Infantry Road,Cafe,800,400.0
The Courtyard,False,True,3.9,296,+917338677996,Shanti Nagar,Cafe,750,375.0
Marzipan @ The Bohemian House,True,False,4.2,50,+918447380380,Richmond Road,Cafe,700,350.0
Cafe Imroze,True,False,3.6,95,"08041550366,+919886435454",Infantry Road,"Cafe, Casual Dining",650,325.0
KAARA BY THE LAKE,False,False,4.0,47,+918025565676,Ulsoor,Cafe,750,375.0
Happy Belly Bakes,True,False,4.2,115,08048654072,MG Road,"Cafe, Bakery",500,250.0
Cafe Cassia& Deli,False,False,4.2,115,08041154102,Ulsoor,"Casual Dining, Cafe",1000,500.0
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© MH-28,True,False,3.4,9,+919886079272,Shivajinagar,Cafe,300,150.0
The Blackboard Bakery,False,True,3.7,91,+919986706451,Lavelle Road,"Cafe, Bakery",1000,500.0
WAFL CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,True,False,4.0,85,+919740780105,Residency Road,"Dessert Parlor, Quick Bites",400,200.0
Fresh Pressery Cafe,False,False,4.1,104,+918041474546,Lavelle Road,"Cafe, Quick Bites",1200,600.0
The CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© @ Saanchi,False,False,4.0,30,+919632580022,Richmond Road,Cafe,800,400.0
Tata Cha,True,False,3.9,66,18001208242,Church Street,"Beverage Shop, Cafe",500,250.0
Moto Store & CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,True,False,4.2,382,08049653126,Ulsoor,Cafe,500,250.0
Haji Ali Juice Centre,False,False,3.8,22,+918150817931,MG Road,"Beverage Shop, Quick Bites",350,175.0
Driven Cafe,True,False,3.4,122,"+919513344707,+919160018419",Residency Road,Cafe,600,300.0
Soul Cafe,False,True,3.9,315,"08041512932,+919916128463",MG Road,Cafe,800,400.0
Barista,False,False,3.7,35,08041149517,Shanti Nagar,Cafe,300,150.0
The Lobby Brew - Conrad Bengaluru,False,True,3.8,25,"+918884358678,+918884463288",Ulsoor,Cafe,2200,1100.0
Cafe 22,False,False,3.0,11,"08025594631,08025594632",Church Street,Cafe,700,350.0
Chai Ki Tapri,False,False,3.7,16,+919113934184,MG Road,Cafe,250,125.0
Cafe Aladdin,False,False,3.9,74,"08073499027,+919986099836",St. Marks Road,Cafe,500,250.0
Cafe Cerrise,False,False,3.8,99,"08039236388,08041641430",Ulsoor,Cafe,600,300.0
Savera Cafe,False,False,3.7,11,+918861994660,Shivajinagar,Cafe,50,25.0
Norsha Caffe,True,False,3.3,6,+917348977606,Commercial Street,Cafe,400,200.0
Little Bites,False,False,3.6,7,+919886763521,MG Road,"Cafe, Quick Bites",200,100.0
Dasaprakash Cafe,False,False,3.1,10,+919845083676,MG Road,Cafe,400,200.0
The Bao Belly,False,False,3.3,9,08048530924,Residency Road,Cafe,400,200.0
The Coffee Bean & Tea Leaf,True,False,3.8,260,+918022086888,MG Road,Cafe,700,350.0
Berrylicious Cafe,True,False,4.1,124,08049652468,MG Road,"Casual Dining, Cafe",900,450.0
Hammered,True,True,4.7,4639,"+918041217527,+917618729481",Cunningham Road,"Pub, Cafe",1300,650.0
Dolci Desserts,True,False,4.3,652,08040977132,Cunningham Road,"Cafe, Dessert Parlor",750,375.0
The Culinarium,False,False,3.7,19,+918043754299,Vasanth Nagar,"Cafe, Dessert Parlor",1100,550.0
Infinitea Tea Room & Tea Store,True,True,4.3,858,"08041148428,08041148810",Cunningham Road,"Casual Dining, Cafe",1000,500.0
Mudpipe Cafe,True,False,4.2,739,+919886140111,Cunningham Road,Cafe,750,375.0
Chels Cafe,True,False,3.5,20,+919742778333,Cunningham Road,Cafe,500,250.0
Talk Ease,False,False,3.1,10,+919739679635,City Market,Cafe,200,100.0
Tea and Wine Lounge,False,False,3.5,10,08022205205,Race Course Road,Cafe,800,400.0
eat.fit,True,True,4.1,94,08049652510,Church Street,Quick Bites,300,150.0
Kabab Souq,True,False,3.6,112,08049652717,Richmond Road,Quick Bites,500,250.0
Kerala Pavilion,True,False,3.9,302,"08025356829,+918147812267",Domlur,Quick Bites,300,150.0
Donne Biriyani House,True,False,4.0,473,+919739406501,Indiranagar,Quick Bites,300,150.0
Leon Grill,True,False,4.3,284,+918022232900,St. Marks Road,Quick Bites,500,250.0
FreshMenu,True,False,3.8,377,+919019245000,Richmond Road,Delivery,450,225.0
Sri Ganesh Juice Junction,True,False,4.1,210,+919591274301,Koramangala 8th Block,Beverage Shop,150,75.0
Burger King,True,False,4.0,1393,08033558000,Indiranagar,Quick Bites,600,300.0
Shanmukha,True,False,3.9,142,08049653049,Old Airport Road,Casual Dining,800,400.0
New Taj,True,False,3.3,111,"+917204915797,+919141128992",Ulsoor,Quick Bites,300,150.0
Sandhya Veg,True,False,3.5,55,08049653013,Brigade Road,Quick Bites,150,75.0
Dunkin' Donuts,True,False,4.1,1079,08040944712,Brigade Road,"Quick Bites, Dessert Parlor",550,275.0
Khan Saheb Grills and Rolls,True,False,4.0,1072,+918880121121,Indiranagar,Quick Bites,350,175.0
Shahi Family Restaurant,True,False,3.4,69,08049652113,Ulsoor,Quick Bites,350,175.0
Pathaan Sir,True,False,3.8,88,+919739956197,Frazer Town,Quick Bites,250,125.0
BOX8- Desi Meals,True,False,4.3,290,02233552698,Residency Road,"Takeaway, Delivery",500,250.0
Punjabi Dhaba,True,False,3.5,350,+919900296710,Ejipura,Quick Bites,350,175.0
Warm Oven,True,False,4.3,889,"+918880233233,+918197170008",Domlur,Delivery,500,250.0
Donne Biryani House,True,False,3.3,70,+919663783088,Residency Road,Quick Bites,400,200.0
Firangi Bake,True,False,3.9,59,+917710090007,Indiranagar,Delivery,600,300.0
Behrouz Biryani,True,False,4.2,128,0917700050050,Vasanth Nagar,Delivery,650,325.0
Corner House Ice Cream,True,False,4.4,633,"08025583262,+919900545172",Residency Road,Dessert Parlor,400,200.0
Chai Point,True,False,4.2,176,"+918880141000,+919945166112",Indiranagar,"Beverage Shop, Quick Bites",250,125.0
Empire Restaurant,True,False,4.0,1864,08049653301,Frazer Town,Casual Dining,750,375.0
Tadkawala,True,False,3.5,68,08049653213,Vasanth Nagar,"Takeaway, Delivery",200,100.0
Shawarma Time,True,False,3.7,80,+919886287794,Ulsoor,Quick Bites,300,150.0
Bangalore Shadi Biriyani,True,False,3.5,57,+918553197976,Vasanth Nagar,Quick Bites,150,75.0
Pizza Hut,True,False,3.8,236,"08039883988,08060009000",Shanti Nagar,Casual Dining,750,375.0
Roti Shotti,True,False,3.8,61,08049653273,Jeevan Bhima Nagar,Quick Bites,400,200.0
Indian Chicken Biryani Point,True,False,3.3,9,"+919845866723,+918892868707",Richmond Road,Quick Bites,300,150.0
Nando's,True,False,4.3,1217,08048538989,Indiranagar,Casual Dining,1200,600.0
KFC,True,False,3.6,206,08033994444,Cunningham Road,Quick Bites,400,200.0
Dakshin Restaurant,True,False,3.6,16,+919481726408,Brigade Road,Casual Dining,800,400.0
KC Das,True,False,3.9,370,"08025587003,+919343767470",MG Road,"Sweet Shop, Quick Bites",200,100.0
Ovenstory Pizza,True,False,3.8,97,+917738383000,Vasanth Nagar,Delivery,750,375.0
M.M.A Kababs Rolls & Biryani Center,True,False,2.7,67,+919901251691,Old Madras Road,Quick Bites,400,200.0
Richie Rich,True,False,4.0,624,"08022269655,08030589655",Race Course Road,"Dessert Parlor, Quick Bites",450,225.0
Belgian Waffle Factory,True,False,4.9,1746,+919481511911,Brigade Road,Dessert Parlor,400,200.0
No 10 Fort Cochin,True,True,3.8,194,"+917777876000,08022112889",St. Marks Road,Casual Dining,800,400.0
Shanthi Sagar,True,False,4.1,204,08041135196,Ulsoor,Quick Bites,250,125.0
Savoury Restaurant,True,False,4.1,1443,"08049336333,08041487066",Frazer Town,Casual Dining,800,400.0
Faasos,True,False,3.8,101,+917700020020,Vasanth Nagar,Delivery,500,250.0
Karama Restaurant,True,True,4.4,2860,"08040414141,08040947898",Frazer Town,Casual Dining,750,375.0
The Mughal's,True,False,3.7,89,+918884497867,Frazer Town,Quick Bites,400,200.0
Potful,True,False,4.1,1125,08049653469,Domlur,Delivery,650,325.0
KKR FOODIES,True,True,3.1,58,+919620388962,St. Marks Road,Quick Bites,400,200.0
Hotel Dil Coorg,True,False,3.6,79,+919902900410,Ulsoor,Quick Bites,300,150.0
Meghana Foods,True,True,4.2,1746,08049652122,Indiranagar,Casual Dining,750,375.0
The Milkshake Theory,True,False,3.2,40,"+919886325247,+917760145681",Lavelle Road,Beverage Shop,400,200.0
Snack House,True,False,3.8,22,"+919945586781,+917406768528",Indiranagar,Quick Bites,200,100.0
Indiana Burgers,True,False,3.4,46,+918197170008,Domlur,Delivery,300,150.0
Xpress Biryani,True,False,4.3,146,+918043757153,Ulsoor,Casual Dining,650,325.0
Cupcake Bliss,True,False,3.6,8,+918197170008,Domlur,Delivery,250,125.0
New Alameen Restaurant,True,False,3.5,24,08049653532,Ulsoor,Quick Bites,300,150.0
Soda Bottle Opener Wala,True,True,4.4,3651,+919892841456,Lavelle Road,"Casual Dining, Irani Cafee",1300,650.0
Smoke House Deli,True,False,4.6,2490,"+918041277989,+918041276272",Lavelle Road,Casual Dining,1600,800.0
Thai Chy,True,True,4.3,375,08045128670,Indiranagar,Casual Dining,1200,600.0
Donne Biryani Hatti,True,False,3.6,27,+919916108575,Vasanth Nagar,Quick Bites,300,150.0
Cafe Azzure,True,True,4.3,2664,08049653400,MG Road,Cafe,1200,600.0
